2.8519558,-0.3294984,6.3907001
3.0517459,-0.3314311,6.2780050
3.2516220,-0.3333869,6.1647659
3.4515354,-0.3353634,6.0509661
3.6513511,-0.3373593,5.9359762
3.8512424,-0.3393769,5.8203722
4.0511064,-0.3414155,5.7037106
4.2509652,-0.3434763,5.5857349
4.4508444,-0.3455602,5.4669820
4.6507021,-0.3476674,5.3464019
4.8505771,-0.3497990,5.2245012
5.0504222,-0.3519546,5.1014754
5.2503066,-0.3541351,4.9757587
5.4501753,-0.3563421,4.8487219
5.6500280,-0.3585752,4.7195629
5.8499077,-0.3608378,4.5873670
6.0496995,-0.3632071,4.4535020
6.2495420,-0.3657000,4.3162384
6.4494804,-0.3680825,4.1766295
6.6492751,-0.3698955,4.0353823
6.8494678,-0.3704977,3.8905545
7.0494503,-0.3690862,3.7448872
7.2490005,-0.3646553,3.5981067
7.4492509,-0.3558755,3.4522931
7.6484644,-0.3412818,3.3081970
7.8467961,-0.3191551,3.1671532
8.0447999,-0.2874184,3.0332559
8.2398223,-0.2443575,2.9107108
8.4307153,-0.1882025,2.8040720
8.6182953,-0.1165863,2.7345510
8.7985613,-0.0296456,2.6742173
8.9702080,0.0718240,2.6136780
9.1329623,0.1862970,2.5402672
9.2878391,0.3127732,2.4598927
9.4329796,0.4492774,2.3849764
9.5664256,0.5969774,2.3618269
9.6860993,0.7568353,2.3734771
9.7894679,0.9286284,2.3958201
9.8734138,1.1094981,2.4396794
9.9387336,1.2975927,2.5524476
9.9893230,1.4913037,2.6866129
10.0283656,1.6880794,2.8220169
10.0570659,1.8848209,2.9499449
10.0773508,2.0840722,3.0762949
10.0903930,2.2839075,3.2013779
10.0975434,2.4830640,3.3270049
10.1001107,2.6837082,3.4527595
10.0991443,2.8831496,3.5784747
10.0955896,3.0831589,3.7032280
10.0902489,3.2832765,3.8270214
10.0838415,3.4828577,3.9479108
10.0769181,3.6830458,4.0676226
10.0700437,3.8826517,4.1813453
10.0636775,4.0825747,4.2920038
10.0583046,4.2823698,4.3963054
10.0543447,4.4822506,4.4372539
10.0518288,4.6820970,4.4321528
10.0504660,4.8822113,4.3299934
10.0499717,5.0819189,4.2074102
10.0499818,5.2822215,4.0759454
10.0498843,5.4820937,3.9423570
10.0488639,5.6819491,3.8051076
10.0458485,5.8822879,3.6674711
10.0396387,6.0810695,3.5296878
10.0286579,6.2818088,3.3952329
10.0114758,6.4808404,3.2633264
9.9864141,6.6785171,3.1352097
9.9513111,6.8763693,3.0141769
9.9048666,7.0704437,2.9031302
9.8454459,7.2601629,2.8079101
9.7706711,7.4469306,2.7407100
9.6813519,7.6260218,2.6826518
9.5786848,7.7966630,2.6254503
9.4642910,7.9592456,2.5590031
9.3390748,8.1146163,2.4898546
9.2041606,8.2614689,2.4136339
9.0585502,8.3971635,2.4200243
8.9008120,8.5192900,2.4395788
8.7310110,8.6251293,2.4735815
8.5507688,8.7132359,2.5387546
8.3645612,8.7842362,2.6770295
8.1738796,8.8426726,2.8149699
7.9794136,8.8908289,2.9493828
7.7829482,8.9294261,3.0763519
7.5859133,8.9595011,3.2007092
7.3869920,8.9825251,3.3248143
